Geography,Geographic_Area_Name,County,tot_pop_est,tot_pop_err,tot_pop_under_5_est,tot_pop_under_5_err,tot_pop_over_65_est,tot_pop_over_65_err,per_pop_under_5_est,per_pop_under_5_err,per_pop_over_65_est,per_pop_over_65_err
1400000US36047013200,"Census Tract 132, Kings County, New York",Kings,2299,504,114,70,381,132,5,3.1,16.6,4.9
1400000US36047013300,"Census Tract 133, Kings County, New York",Kings,4465,569,438,149,553,167,9.8,2.9,12.4,3.5
1400000US36047013400,"Census Tract 134, Kings County, New York",Kings,4163,609,454,200,582,168,10.9,4,14,3.7
1400000US36047013500,"Census Tract 135, Kings County, New York",Kings,4240,556,588,175,263,77,13.9,3.3,6.2,1.9
1400000US36047013600,"Census Tract 136, Kings County, New York",Kings,3829,615,262,153,455,135,6.8,3.8,11.9,3.5
1400000US36047013700,"Census Tract 137, Kings County, New York",Kings,3484,406,351,112,346,113,10.1,3,9.9,3.2
1400000US36047013800,"Census Tract 138, Kings County, New York",Kings,3527,586,97,72,484,90,2.8,2,13.7,2.9
1400000US36047013900,"Census Tract 139, Kings County, New York",Kings,3574,401,216,115,310,98,6,3.2,8.7,2.5
1400000US36047014000,"Census Tract 140, Kings County, New York",Kings,1944,356,93,54,415,139,4.8,2.9,21.3,6.1
1400000US36047014101,"Census Tract 141.01, Kings County, New York",Kings,968,145,47,38,44,33,4.9,3.7,4.5,3.5
1400000US36047014102,"Census Tract 141.02, Kings County, New York",Kings,1863,352,237,100,231,179,12.7,5.2,12.4,8.1
1400000US36047014200,"Census Tract 142, Kings County, New York",Kings,2992,471,183,97,457,161,6.1,2.7,15.3,5.5
1400000US36047014300,"Census Tract 143, Kings County, New York",Kings,3599,534,92,59,316,147,2.6,1.6,8.8,3.7
1400000US36047014500,"Census Tract 145, Kings County, New York",Kings,3909,506,324,130,237,52,8.3,3,6.1,1.6
1400000US36047014700,"Census Tract 147, Kings County, New York",Kings,2646,336,294,116,134,54,11.1,3.7,5.1,2.1
1400000US36047014800,"Census Tract 148, Kings County, New York",Kings,1242,223,110,71,301,103,8.9,4.9,24.2,7.8
1400000US36047014901,"Census Tract 149.01, Kings County, New York",Kings,1478,282,75,61,138,116,5.1,4.4,9.3,7.7
1400000US36047014902,"Census Tract 149.02, Kings County, New York",Kings,4569,857,165,108,329,132,3.6,2.2,7.2,3
1400000US36047015000,"Census Tract 150, Kings County, New York",Kings,1592,259,44,32,444,107,2.8,2,27.9,7
1400000US36047015100,"Census Tract 151, Kings County, New York",Kings,4170,459,292,181,662,200,7,4.1,15.9,4.4
1400000US36047015200,"Census Tract 152, Kings County, New York",Kings,2650,373,60,44,521,108,2.3,1.6,19.7,4.1
1400000US36047015300,"Census Tract 153, Kings County, New York",Kings,2530,325,130,63,516,188,5.1,2.3,20.4,6.4
1400000US36047015400,"Census Tract 154, Kings County, New York",Kings,10,12,0,12,0,12,0,97.3,0,97.3
1400000US36047015500,"Census Tract 155, Kings County, New York",Kings,3927,473,269,95,492,145,6.9,2.5,12.5,3.6
1400000US36047015700,"Census Tract 157, Kings County, New York",Kings,4332,665,323,158,557,167,7.5,3.4,12.9,4.2
1400000US36047015900,"Census Tract 159, Kings County, New York",Kings,4778,625,460,210,612,172,9.6,3.8,12.8,3.9
1400000US36047016000,"Census Tract 160, Kings County, New York",Kings,4134,629,254,189,395,153,6.1,4.3,9.6,3.8
1400000US36047016100,"Census Tract 161, Kings County, New York",Kings,3552,406,234,120,621,196,6.6,3.3,17.5,4.8
1400000US36047016200,"Census Tract 162, Kings County, New York",Kings,2169,396,59,44,466,193,2.7,1.9,21.5,8.4
1400000US36047016300,"Census Tract 163, Kings County, New York",Kings,3489,637,451,286,430,101,12.9,6.4,12.3,3.5
1400000US36047016400,"Census Tract 164, Kings County, New York",Kings,1326,538,50,44,45,30,3.8,3.3,3.4,2.9
1400000US36047016500,"Census Tract 165, Kings County, New York",Kings,5973,890,424,188,664,235,7.1,3.1,11.1,4.2
1400000US36047016600,"Census Tract 166, Kings County, New York",Kings,1852,229,118,60,472,88,6.4,3.2,25.5,3.9
1400000US36047016700,"Census Tract 167, Kings County, New York",Kings,4906,667,444,191,655,176,9.1,3.5,13.4,4.1
1400000US36047016800,"Census Tract 168, Kings County, New York",Kings,1924,340,93,51,380,101,4.8,2.3,19.8,5.4
1400000US36047016900,"Census Tract 169, Kings County, New York",Kings,4817,831,290,165,480,119,6,3.3,10,3.3
1400000US36047017000,"Census Tract 170, Kings County, New York",Kings,2935,507,202,86,778,275,6.9,3,26.5,6.8
1400000US36047017100,"Census Tract 171, Kings County, New York",Kings,4213,716,277,127,591,124,6.6,3,14,3.7
1400000US36047017200,"Census Tract 172, Kings County, New York",Kings,3275,650,133,71,606,237,4.1,2,18.5,6.4
1400000US36047017400,"Census Tract 174, Kings County, New York",Kings,2155,273,221,72,300,68,10.3,3.1,13.9,3
1400000US36047017500,"Census Tract 175, Kings County, New York",Kings,0,12,0,12,0,12,-,**,-,**
1400000US36047017600,"Census Tract 176, Kings County, New York",Kings,2455,314,227,85,307,61,9.2,3.2,12.5,2.6
1400000US36047017700,"Census Tract 177, Kings County, New York",Kings,0,12,0,12,0,12,-,**,-,**
1400000US36047017800,"Census Tract 178, Kings County, New York",Kings,3041,431,217,91,500,125,7.1,2.9,16.4,4.8
1400000US36047017900,"Census Tract 179, Kings County, New York",Kings,4385,668,258,104,858,168,5.9,2.5,19.6,4.4
1400000US36047018000,"Census Tract 180, Kings County, New York",Kings,3424,780,71,59,459,153,2.1,1.7,13.4,5.1
1400000US36047018100,"Census Tract 181, Kings County, New York",Kings,3785,599,258,176,471,203,6.8,4,12.4,5.5
1400000US36047018200,"Census Tract 182, Kings County, New York",Kings,3421,535,329,185,559,138,9.6,4.3,16.3,4.8
1400000US36047018300,"Census Tract 183, Kings County, New York",Kings,2663,498,169,126,107,59,6.3,4.1,4,2.3
1400000US36047018400,"Census Tract 184, Kings County, New York",Kings,2318,294,141,68,459,185,6.1,2.7,19.8,6.8
1400000US36047018501,"Census Tract 185.01, Kings County, New York",Kings,4130,702,165,113,568,193,4,2.6,13.8,4.3
1400000US36047018600,"Census Tract 186, Kings County, New York",Kings,2255,386,91,55,383,108,4,2.4,17,4.9
1400000US36047018700,"Census Tract 187, Kings County, New York",Kings,1459,271,137,67,209,80,9.4,4.1,14.3,4.8
1400000US36047018800,"Census Tract 188, Kings County, New York",Kings,2905,395,231,104,487,120,8,3.4,16.8,3.9
1400000US36047019000,"Census Tract 190, Kings County, New York",Kings,4543,675,466,199,730,256,10.3,4.3,16.1,5.3
1400000US36047019100,"Census Tract 191, Kings County, New York",Kings,2964,589,348,146,104,58,11.7,3.5,3.5,2
1400000US36047019200,"Census Tract 192, Kings County, New York",Kings,2716,468,262,105,331,136,9.6,3.9,12.2,4.3
1400000US36047019300,"Census Tract 193, Kings County, New York",Kings,6140,763,171,103,1122,424,2.8,1.6,18.3,5.9
1400000US36047019400,"Census Tract 194, Kings County, New York",Kings,3465,821,292,124,684,388,8.4,3.4,19.7,8.5
1400000US36047019500,"Census Tract 195, Kings County, New York",Kings,3128,383,188,94,609,330,6,3,19.5,8.8
1400000US36047019600,"Census Tract 196, Kings County, New York",Kings,4238,596,356,135,848,233,8.4,3.2,20,4.7
1400000US36047019700,"Census Tract 197, Kings County, New York",Kings,3669,436,310,105,356,142,8.4,2.9,9.7,3.9
1400000US36047019800,"Census Tract 198, Kings County, New York",Kings,1877,314,135,86,302,87,7.2,4.3,16.1,4.9
1400000US36047019900,"Census Tract 199, Kings County, New York",Kings,3769,488,374,124,237,77,9.9,3.2,6.3,2.1
1400000US36047020000,"Census Tract 200, Kings County, New York",Kings,2296,317,103,60,444,141,4.5,2.7,19.3,5.7
1400000US36047020100,"Census Tract 201, Kings County, New York",Kings,3940,535,266,115,487,278,6.8,2.5,12.4,6
1400000US36047020200,"Census Tract 202, Kings County, New York",Kings,1963,325,203,114,274,50,10.3,4.6,14,3.1
1400000US36047020300,"Census Tract 203, Kings County, New York",Kings,1773,335,107,44,144,59,6,2.5,8.1,3.4
1400000US36047020400,"Census Tract 204, Kings County, New York",Kings,1710,259,36,30,332,77,2.1,1.7,19.4,4.9
1400000US36047020500,"Census Tract 205, Kings County, New York",Kings,3164,497,227,73,180,70,7.2,2.5,5.7,2.4
1400000US36047020600,"Census Tract 206, Kings County, New York",Kings,2355,399,139,140,378,91,5.9,5.4,16.1,4.2
1400000US36047020700,"Census Tract 207, Kings County, New York",Kings,4490,594,165,99,569,218,3.7,2.1,12.7,4.9
1400000US36047020800,"Census Tract 208, Kings County, New York",Kings,3159,660,63,52,438,168,2,1.6,13.9,5.3
1400000US36047021000,"Census Tract 210, Kings County, New York",Kings,3935,584,236,120,467,165,6,2.9,11.9,4.3
1400000US36047021100,"Census Tract 211, Kings County, New York",Kings,2795,386,159,70,194,59,5.7,2.3,6.9,2.1
1400000US36047021200,"Census Tract 212, Kings County, New York",Kings,4123,710,113,86,548,193,2.7,2.1,13.3,4.6
1400000US36047021300,"Census Tract 213, Kings County, New York",Kings,4166,739,124,96,447,99,3,2.3,10.7,3
1400000US36047021400,"Census Tract 214, Kings County, New York",Kings,2128,443,320,162,140,78,15,5.6,6.6,3.9
1400000US36047021500,"Census Tract 215, Kings County, New York",Kings,6013,742,533,319,906,252,8.9,5,15.1,4.3
1400000US36047021600,"Census Tract 216, Kings County, New York",Kings,3790,758,506,171,402,162,13.4,4.2,10.6,4.2
1400000US36047021700,"Census Tract 217, Kings County, New York",Kings,3407,470,123,91,590,190,3.6,2.4,17.3,5.4
1400000US36047021800,"Census Tract 218, Kings County, New York",Kings,2891,687,307,137,328,134,10.6,4.1,11.3,5.1
1400000US36047021900,"Census Tract 219, Kings County, New York",Kings,3677,603,168,99,597,305,4.6,2.7,16.2,6.8
1400000US36047022000,"Census Tract 220, Kings County, New York",Kings,4894,807,1092,297,392,160,22.3,5,8,3.6
1400000US36047022100,"Census Tract 221, Kings County, New York",Kings,3813,606,158,79,626,390,4.1,2,16.4,9
1400000US36047022200,"Census Tract 222, Kings County, New York",Kings,3991,664,711,232,464,156,17.8,5,11.6,4.1
1400000US36047022400,"Census Tract 224, Kings County, New York",Kings,5393,1121,712,252,282,109,13.2,3.3,5.2,2.5
1400000US36047022600,"Census Tract 226, Kings County, New York",Kings,2167,551,203,137,120,46,9.4,4.7,5.5,2.5
1400000US36047022700,"Census Tract 227, Kings County, New York",Kings,3873,741,371,312,194,90,9.6,6.6,5,2.6
1400000US36047022800,"Census Tract 228, Kings County, New York",Kings,3938,615,463,157,218,106,11.8,3.7,5.5,2.8
1400000US36047022900,"Census Tract 229, Kings County, New York",Kings,3832,481,160,90,193,75,4.2,2.3,5,2.1
1400000US36047023000,"Census Tract 230, Kings County, New York",Kings,4619,1214,1011,490,340,143,21.9,5.8,7.4,3.7
1400000US36047023100,"Census Tract 231, Kings County, New York",Kings,3652,491,198,102,433,106,5.4,2.6,11.9,3
1400000US36047023200,"Census Tract 232, Kings County, New York",Kings,5865,1140,916,250,544,175,15.6,3.5,9.3,3.3
1400000US36047023300,"Census Tract 233, Kings County, New York",Kings,6023,1220,528,423,487,264,8.8,5.6,8.1,4.1
1400000US36047023400,"Census Tract 234, Kings County, New York",Kings,4833,1104,1293,385,480,159,26.8,5.1,9.9,3.8
1400000US36047023500,"Census Tract 235, Kings County, New York",Kings,5036,889,953,401,67,87,18.9,5.6,1.3,1.7
1400000US36047023600,"Census Tract 236, Kings County, New York",Kings,5352,995,1298,249,533,145,24.3,3.1,10,3.2
1400000US36047023800,"Census Tract 238, Kings County, New York",Kings,3817,891,764,287,556,160,20,6.2,14.6,5.2
1400000US36047024000,"Census Tract 240, Kings County, New York",Kings,5167,970,978,341,599,136,18.9,4.3,11.6,3.3
1400000US36047024100,"Census Tract 241, Kings County, New York",Kings,2955,613,251,102,196,89,8.5,3.6,6.6,3.1
1400000US36047024200,"Census Tract 242, Kings County, New York",Kings,2826,470,511,143,380,136,18.1,3.9,13.4,4.8
1400000US36047024300,"Census Tract 243, Kings County, New York",Kings,4214,696,170,86,686,227,4,2,16.3,5.6
1400000US36047024400,"Census Tract 244, Kings County, New York",Kings,3547,627,334,153,277,110,9.4,3.5,7.8,3
1400000US36047024500,"Census Tract 245, Kings County, New York",Kings,4688,606,312,163,383,159,6.7,3.3,8.2,3.1
1400000US36047024600,"Census Tract 246, Kings County, New York",Kings,2868,396,272,102,470,124,9.5,2.9,16.4,3.6
1400000US36047024700,"Census Tract 247, Kings County, New York",Kings,2697,406,222,120,133,70,8.2,4.5,4.9,2.6
1400000US36047024800,"Census Tract 248, Kings County, New York",Kings,2548,378,244,103,393,100,9.6,3.5,15.4,4
1400000US36047024900,"Census Tract 249, Kings County, New York",Kings,4147,695,121,83,171,88,2.9,1.9,4.1,2.1
1400000US36047025000,"Census Tract 250, Kings County, New York",Kings,1799,393,54,35,250,73,3,2,13.9,5.4
1400000US36047025100,"Census Tract 251, Kings County, New York",Kings,3716,645,125,88,359,109,3.4,2.3,9.7,3.2
1400000US36047025200,"Census Tract 252, Kings County, New York",Kings,5257,691,390,182,519,145,7.4,3.3,9.9,3.2
1400000US36047025300,"Census Tract 253, Kings County, New York",Kings,3616,792,231,91,407,166,6.4,2.6,11.3,4.3
1400000US36047025400,"Census Tract 254, Kings County, New York",Kings,3178,485,180,88,637,173,5.7,2.5,20,5.9
1400000US36047025500,"Census Tract 255, Kings County, New York",Kings,5203,710,413,199,465,121,7.9,3.5,8.9,2.6
1400000US36047025600,"Census Tract 256, Kings County, New York",Kings,3166,700,447,168,398,99,14.1,4,12.6,4.2
1400000US36047025700,"Census Tract 257, Kings County, New York",Kings,2541,439,209,67,103,61,8.2,2.5,4.1,2.5
1400000US36047025800,"Census Tract 258, Kings County, New York",Kings,4467,655,469,216,659,151,10.5,3.9,14.8,3.9
1400000US36047025901,"Census Tract 259.01, Kings County, New York",Kings,1874,228,145,56,120,53,7.7,2.9,6.4,2.8
1400000US36047025902,"Census Tract 259.02, Kings County, New York",Kings,3650,638,341,193,263,156,9.3,4.9,7.2,4.5
1400000US36047026000,"Census Tract 260, Kings County, New York",Kings,3184,573,119,79,571,141,3.7,2.4,17.9,5
1400000US36047026100,"Census Tract 261, Kings County, New York",Kings,4798,816,219,191,307,144,4.6,3.6,6.4,3.3
1400000US36047026200,"Census Tract 262, Kings County, New York",Kings,2513,421,124,90,328,82,4.9,3,13.1,4
1400000US36047026300,"Census Tract 263, Kings County, New York",Kings,2047,308,115,61,213,84,5.6,3,10.4,4
1400000US36047026400,"Census Tract 264, Kings County, New York",Kings,4491,618,231,116,484,127,5.1,2.3,10.8,3.1
1400000US36047026500,"Census Tract 265, Kings County, New York",Kings,4032,648,194,130,551,198,4.8,3.1,13.7,5.4
1400000US36047026600,"Census Tract 266, Kings County, New York",Kings,3592,549,327,210,448,115,9.1,5.2,12.5,3.5
1400000US36047026700,"Census Tract 267, Kings County, New York",Kings,4277,494,173,94,919,212,4,2.1,21.5,4.1
1400000US36047026800,"Census Tract 268, Kings County, New York",Kings,4299,597,214,118,967,314,5,2.6,22.5,6.7
1400000US36047026900,"Census Tract 269, Kings County, New York",Kings,3365,714,304,168,273,116,9,4.1,8.1,3.6
1400000US36047027000,"Census Tract 270, Kings County, New York",Kings,2147,425,49,44,300,79,2.3,2.1,14,4.9
1400000US36047027100,"Census Tract 271, Kings County, New York",Kings,3351,596,257,101,351,91,7.7,3,10.5,2.9
1400000US36047027200,"Census Tract 272, Kings County, New York",Kings,3725,460,229,92,761,184,6.1,2.4,20.4,5
1400000US36047027300,"Census Tract 273, Kings County, New York",Kings,3651,669,217,106,376,140,5.9,2.6,10.3,3.8
1400000US36047027400,"Census Tract 274, Kings County, New York",Kings,3377,584,169,85,605,235,5,2.6,17.9,5.5
1400000US36047027500,"Census Tract 275, Kings County, New York",Kings,4711,810,268,137,524,132,5.7,2.6,11.1,2.7
1400000US36047027600,"Census Tract 276, Kings County, New York",Kings,3638,766,228,127,399,114,6.3,3.3,11,3.9
1400000US36047027700,"Census Tract 277, Kings County, New York",Kings,4449,675,264,117,344,142,5.9,2.3,7.7,3.2
1400000US36047027800,"Census Tract 278, Kings County, New York",Kings,3141,520,189,82,521,112,6,2.3,16.6,4.1
1400000US36047027900,"Census Tract 279, Kings County, New York",Kings,3548,588,264,137,449,189,7.4,3.3,12.7,5.3
1400000US36047028000,"Census Tract 280, Kings County, New York",Kings,1869,276,110,46,217,51,5.9,2.4,11.6,3.2
1400000US36047028100,"Census Tract 281, Kings County, New York",Kings,4738,863,413,348,255,129,8.7,6.1,5.4,2.8
1400000US36047028200,"Census Tract 282, Kings County, New York",Kings,3605,468,210,145,739,303,5.8,3.7,20.5,7.5
1400000US36047028300,"Census Tract 283, Kings County, New York",Kings,3701,684,122,97,447,223,3.3,2.6,12.1,5.1
1400000US36047028400,"Census Tract 284, Kings County, New York",Kings,3440,484,308,124,596,138,9,3.5,17.3,4.2
1400000US36047028501,"Census Tract 285.01, Kings County, New York",Kings,386,145,23,36,28,21,6,7.9,7.3,5.8
1400000US36047028502,"Census Tract 285.02, Kings County, New York",Kings,2937,556,51,63,814,392,1.7,2.1,27.7,9.7
1400000US36047028600,"Census Tract 286, Kings County, New York",Kings,5257,1013,801,377,831,205,15.2,5.2,15.8,4.8
1400000US36047028700,"Census Tract 287, Kings County, New York",Kings,3308,511,200,178,369,149,6,5,11.2,4.4
1400000US36047028800,"Census Tract 288, Kings County, New York",Kings,3422,706,207,96,714,268,6,2.3,20.9,5.6
1400000US36047028900,"Census Tract 289, Kings County, New York",Kings,3728,844,177,113,500,210,4.7,3,13.4,5.5
1400000US36047029000,"Census Tract 290, Kings County, New York",Kings,3539,552,285,155,861,259,8.1,3.9,24.3,7.1
1400000US36047029100,"Census Tract 291, Kings County, New York",Kings,3232,475,131,167,304,66,4.1,4.8,9.4,2.4
1400000US36047029200,"Census Tract 292, Kings County, New York",Kings,2776,321,196,83,407,150,7.1,3,14.7,5
1400000US36047029300,"Census Tract 293, Kings County, New York",Kings,3353,566,143,101,571,246,4.3,2.8,17,6.7
1400000US36047029400,"Census Tract 294, Kings County, New York",Kings,2494,409,103,107,722,219,4.1,4,28.9,7.3
1400000US36047029500,"Census Tract 295, Kings County, New York",Kings,4212,840,221,120,358,109,5.2,2.6,8.5,2.8
1400000US36047029600,"Census Tract 296, Kings County, New York",Kings,5246,861,267,178,645,250,5.1,3,12.3,5
1400000US36047029700,"Census Tract 297, Kings County, New York",Kings,4412,671,191,134,513,176,4.3,3,11.6,3.7
1400000US36047029800,"Census Tract 298, Kings County, New York",Kings,3734,725,325,192,451,126,8.7,4.6,12.1,3.7
1400000US36047029900,"Census Tract 299, Kings County, New York",Kings,2297,539,93,61,383,141,4,2.4,16.7,6.1
1400000US36047030000,"Census Tract 300, Kings County, New York",Kings,3997,508,308,156,439,139,7.7,3.7,11,3.3
1400000US36047030100,"Census Tract 301, Kings County, New York",Kings,3021,614,178,84,340,122,5.9,2.6,11.3,4.4
1400000US36047030200,"Census Tract 302, Kings County, New York",Kings,4419,527,207,99,861,209,4.7,2.1,19.5,4
1400000US36047030300,"Census Tract 303, Kings County, New York",Kings,4864,701,390,198,720,312,8,3.9,14.8,5.6
1400000US36047030400,"Census Tract 304, Kings County, New York",Kings,4358,524,364,185,1046,212,8.4,3.7,24,5.9
1400000US36047030500,"Census Tract 305, Kings County, New York",Kings,6806,777,359,230,724,158,5.3,3.1,10.6,2.4
1400000US36047030600,"Census Tract 306, Kings County, New York",Kings,1852,270,122,42,348,117,6.6,2.2,18.8,5.9
1400000US36047030700,"Census Tract 307, Kings County, New York",Kings,7084,929,963,399,472,154,13.6,5.3,6.7,2.3
1400000US36047030800,"Census Tract 308, Kings County, New York",Kings,2035,331,44,48,499,112,2.2,2.4,24.5,5.9
1400000US36047030900,"Census Tract 309, Kings County, New York",Kings,2302,431,176,116,153,73,7.6,4.3,6.6,3.4
1400000US36047031100,"Census Tract 311, Kings County, New York",Kings,2991,565,145,110,202,98,4.8,3.2,6.8,3
1400000US36047031300,"Census Tract 313, Kings County, New York",Kings,4943,821,288,318,745,357,5.8,6,15.1,7.1
1400000US36047031401,"Census Tract 314.01, Kings County, New York",Kings,4972,928,203,177,1010,236,4.1,3.3,20.3,5.9
1400000US36047031402,"Census Tract 314.02, Kings County, New York",Kings,0,12,0,12,0,12,-,**,-,**
1400000US36047031500,"Census Tract 315, Kings County, New York",Kings,5140,733,184,146,562,200,3.6,2.6,10.9,3.8
1400000US36047031701,"Census Tract 317.01, Kings County, New York",Kings,3671,646,350,159,318,143,9.5,3.9,8.7,4.1
1400000US36047031702,"Census Tract 317.02, Kings County, New York",Kings,3744,600,266,134,294,104,7.1,3.4,7.9,2.8
1400000US36047031900,"Census Tract 319, Kings County, New York",Kings,2847,578,176,96,369,97,6.2,2.8,13,3.9
1400000US36047032100,"Census Tract 321, Kings County, New York",Kings,5396,798,176,118,886,328,3.3,2.1,16.4,4.7
1400000US36047032300,"Census Tract 323, Kings County, New York",Kings,3542,767,81,59,583,141,2.3,1.6,16.5,4.8
1400000US36047032500,"Census Tract 325, Kings County, New York",Kings,5888,917,90,82,981,385,1.5,1.4,16.7,5.3
1400000US36047032600,"Census Tract 326, Kings County, New York",Kings,6794,1158,230,161,778,166,3.4,2.5,11.5,2.8
1400000US36047032700,"Census Tract 327, Kings County, New York",Kings,2696,509,112,124,424,127,4.2,4.2,15.7,4.4
1400000US36047032800,"Census Tract 328, Kings County, New York",Kings,2586,362,192,119,706,220,7.4,4.7,27.3,7.3
1400000US36047032900,"Census Tract 329, Kings County, New York",Kings,6083,1325,465,233,767,223,7.6,4.2,12.6,4.3
1400000US36047033000,"Census Tract 330, Kings County, New York",Kings,4821,852,214,171,1000,260,4.4,3.3,20.7,5.5
1400000US36047033100,"Census Tract 331, Kings County, New York",Kings,4168,694,540,223,628,239,13,4.4,15.1,5.8
1400000US36047033300,"Census Tract 333, Kings County, New York",Kings,4579,928,602,313,635,167,13.1,5.6,13.9,4.6
1400000US36047033500,"Census Tract 335, Kings County, New York",Kings,3094,382,188,102,479,111,6.1,3.2,15.5,3.2
1400000US36047033600,"Census Tract 336, Kings County, New York",Kings,4701,780,293,178,786,210,6.2,3.4,16.7,4.7
1400000US36047033701,"Census Tract 337.01, Kings County, New York",Kings,2211,634,102,78,297,154,4.6,3.2,13.4,7.5
1400000US36047033702,"Census Tract 337.02, Kings County, New York",Kings,1669,412,173,112,152,110,10.4,5.3,9.1,6.9
1400000US36047033900,"Census Tract 339, Kings County, New York",Kings,4398,581,335,189,1025,205,7.6,3.8,23.3,4.7
1400000US36047034000,"Census Tract 340, Kings County, New York",Kings,1991,334,47,33,950,192,2.4,1.6,47.7,6.3
1400000US36047034100,"Census Tract 341, Kings County, New York",Kings,3194,461,18,29,657,165,0.6,0.9,20.6,4.6
1400000US36047034200,"Census Tract 342, Kings County, New York",Kings,6151,1178,400,216,1772,261,6.5,2.8,28.8,6.5
1400000US36047034300,"Census Tract 343, Kings County, New York",Kings,4942,760,227,98,920,534,4.6,2,18.6,8.8
1400000US36047034500,"Census Tract 345, Kings County, New York",Kings,2924,597,156,144,145,77,5.3,4.4,5,2.8
1400000US36047034700,"Census Tract 347, Kings County, New York",Kings,3496,514,120,107,478,190,3.4,2.9,13.7,5.1
1400000US36047034800,"Census Tract 348, Kings County, New York",Kings,3055,448,381,120,118,63,12.5,3.5,3.9,2.2
1400000US36047034901,"Census Tract 349.01, Kings County, New York",Kings,2023,425,373,223,123,55,18.4,8.9,6.1,3.2
1400000US36047034902,"Census Tract 349.02, Kings County, New York",Kings,4320,900,455,340,387,122,10.5,6.4,9,3.5
1400000US36047035000,"Census Tract 350, Kings County, New York",Kings,2971,319,45,46,1249,238,1.5,1.5,42,6.3
1400000US36047035101,"Census Tract 351.01, Kings County, New York",Kings,2330,697,132,86,378,201,5.7,3.4,16.2,6.8
1400000US36047035102,"Census Tract 351.02, Kings County, New York",Kings,2320,378,67,56,495,202,2.9,2.3,21.3,9.4
1400000US36047035200,"Census Tract 352, Kings County, New York",Kings,1162,286,11,17,815,178,0.9,1.5,70.1,7
1400000US36047035301,"Census Tract 353.01, Kings County, New York",Kings,2559,497,35,34,162,69,1.4,1.3,6.3,2.8
1400000US36047035302,"Census Tract 353.02, Kings County, New York",Kings,2725,610,131,91,397,151,4.8,3.3,14.6,5.5
1400000US36047035400,"Census Tract 354, Kings County, New York",Kings,5720,815,253,168,2019,325,4.4,3,35.3,5.5
1400000US36047035500,"Census Tract 355, Kings County, New York",Kings,5499,739,370,154,713,212,6.7,2.7,13,3.8
1400000US36047035601,"Census Tract 356.01, Kings County, New York",Kings,2553,278,20,21,1440,247,0.8,0.8,56.4,7.4
1400000US36047035602,"Census Tract 356.02, Kings County, New York",Kings,5586,711,413,180,1963,368,7.4,2.9,35.1,6.2
1400000US36047035701,"Census Tract 357.01, Kings County, New York",Kings,2317,388,80,45,220,63,3.5,1.8,9.5,3
1400000US36047035702,"Census Tract 357.02, Kings County, New York",Kings,0,12,0,12,0,12,-,**,-,**
1400000US36047035900,"Census Tract 359, Kings County, New York",Kings,5718,794,381,227,469,155,6.7,3.9,8.2,2.6
1400000US36047036001,"Census Tract 360.01, Kings County, New York",Kings,3156,336,252,118,1255,192,8,3.3,39.8,6.7
1400000US36047036002,"Census Tract 360.02, Kings County, New York",Kings,3878,506,182,157,2000,432,4.7,4.1,51.6,10.6
1400000US36047036100,"Census Tract 361, Kings County, New York",Kings,2834,471,196,160,630,169,6.9,5.5,22.2,6.4
1400000US36047036200,"Census Tract 362, Kings County, New York",Kings,3678,474,216,155,487,190,5.9,3.8,13.2,5.7
1400000US36047036300,"Census Tract 363, Kings County, New York",Kings,5109,849,533,284,797,269,10.4,5.3,15.6,4.3
1400000US36047036400,"Census Tract 364, Kings County, New York",Kings,2325,399,110,71,453,174,4.7,2.9,19.5,5.7
1400000US36047036501,"Census Tract 365.01, Kings County, New York",Kings,3564,659,174,130,531,224,4.9,3.6,14.9,5.5
1400000US36047036502,"Census Tract 365.02, Kings County, New York",Kings,1562,483,152,91,46,33,9.7,5.6,2.9,2.4
1400000US36047036600,"Census Tract 366, Kings County, New York",Kings,4129,815,557,375,730,156,13.5,7.2,17.7,4.7
1400000US36047036700,"Census Tract 367, Kings County, New York",Kings,1211,308,82,74,61,42,6.8,5.1,5,3.4
1400000US36047036900,"Census Tract 369, Kings County, New York",Kings,6056,990,327,200,481,176,5.4,3.1,7.9,3.2
1400000US36047037000,"Census Tract 370, Kings County, New York",Kings,4016,559,218,117,944,232,5.4,2.7,23.5,5.2
1400000US36047037100,"Census Tract 371, Kings County, New York",Kings,4689,667,442,185,384,116,9.4,3.3,8.2,2.9
1400000US36047037300,"Census Tract 373, Kings County, New York",Kings,4358,737,272,160,420,167,6.2,3.3,9.6,4
1400000US36047037401,"Census Tract 374.01, Kings County, New York",Kings,4679,845,438,332,812,165,9.4,5.8,17.4,4.4
1400000US36047037402,"Census Tract 374.02, Kings County, New York",Kings,4661,621,417,270,1255,261,8.9,5.3,26.9,7
1400000US36047037500,"Census Tract 375, Kings County, New York",Kings,3232,531,174,124,390,183,5.4,3.7,12.1,5.2
1400000US36047037700,"Census Tract 377, Kings County, New York",Kings,4575,701,285,133,713,257,6.2,2.6,15.6,5.2
1400000US36047037900,"Census Tract 379, Kings County, New York",Kings,4671,879,213,85,795,364,4.6,2,17,5.3
1400000US36047038100,"Census Tract 381, Kings County, New York",Kings,5351,639,330,141,641,233,6.2,2.6,12,3.9
1400000US36047038200,"Census Tract 382, Kings County, New York",Kings,5714,860,235,118,830,303,4.1,2.1,14.5,5.5
1400000US36047038300,"Census Tract 383, Kings County, New York",Kings,4737,534,284,174,567,195,6,3.6,12,3.8
