Geography,Geographic_Area_Name,County,tot_pop_est,tot_pop_err,tot_pop_under_5_est,tot_pop_under_5_err,tot_pop_over_65_est,tot_pop_over_65_err,per_pop_under_5_est,per_pop_under_5_err,per_pop_over_65_est,per_pop_over_65_err
1400000US36047000700,"Census Tract 7, Kings County, New York",Kings,3899,454,341,137,334,76,8.7,3.2,8.6,2.1
1400000US36047000900,"Census Tract 9, Kings County, New York",Kings,4654,524,338,136,388,174,7.3,2.8,8.3,3.6
1400000US36047001100,"Census Tract 11, Kings County, New York",Kings,1502,225,121,74,15,12,8.1,4,1,0.8
1400000US36047001300,"Census Tract 13, Kings County, New York",Kings,1917,294,69,33,479,92,3.6,1.8,25,5.9
1400000US36047001501,"Census Tract 15.01, Kings County, New York",Kings,4875,646,279,169,272,107,5.7,3.3,5.6,2.3
1400000US36047001502,"Census Tract 15.02, Kings County, New York",Kings,4654,739,291,83,125,63,6.3,1.7,2.7,1.4
1400000US36047001801,"Census Tract 18.01, Kings County, New York",Kings,1920,1198,0,12,16,28,0,1.8,0.8,1.1
1400000US36047001802,"Census Tract 18.02, Kings County, New York",Kings,0,12,0,12,0,12,-,**,-,**
1400000US36047001803,"Census Tract 18.03, Kings County, New York",Kings,0,12,0,12,0,12,-,**,-,**
1400000US36047001804,"Census Tract 18.04, Kings County, New York",Kings,0,12,0,12,0,12,-,**,-,**
1400000US36047002000,"Census Tract 20, Kings County, New York",Kings,1503,438,43,52,96,54,2.9,3.2,6.4,3.9
1400000US36047002100,"Census Tract 21, Kings County, New York",Kings,5206,966,533,266,201,108,10.2,4.5,3.9,2
1400000US36047002200,"Census Tract 22, Kings County, New York",Kings,4284,755,333,315,707,186,7.8,6.5,16.5,5.3
1400000US36047002300,"Census Tract 23, Kings County, New York",Kings,4133,643,94,81,744,319,2.3,2,18,6.2
1400000US36047002901,"Census Tract 29.01, Kings County, New York",Kings,4528,734,305,184,429,183,6.7,4,9.5,3.8
1400000US36047003000,"Census Tract 30, Kings County, New York",Kings,1545,269,101,58,258,78,6.5,3.5,16.7,4.7
1400000US36047003101,"Census Tract 31.01, Kings County, New York",Kings,3468,443,285,160,618,167,8.2,4.5,17.8,4.4
1400000US36047003102,"Census Tract 31.02, Kings County, New York",Kings,0,12,0,12,0,12,-,**,-,**
1400000US36047003300,"Census Tract 33, Kings County, New York",Kings,4479,698,328,248,212,60,7.3,4.8,4.7,1.6
1400000US36047003400,"Census Tract 34, Kings County, New York",Kings,3306,474,336,165,508,153,10.2,4.2,15.4,4.2
1400000US36047003500,"Census Tract 35, Kings County, New York",Kings,2080,213,129,45,233,81,6.2,2.1,11.2,3.6
1400000US36047003600,"Census Tract 36, Kings County, New York",Kings,3465,395,186,96,825,227,5.4,2.6,23.8,5.7
